fecha,ANTO.L,BHP,CAP.SN,FCX,GLEN.L,PUCOBRE.SN,SCCO,SQM-B.SN
2000-01-03,85.90596008300781,2.989454746246338,385.2484130859375,6.120051383972168,,174.60595703125,0.7132065892219543,910.2877197265625
2000-01-04,85.90596008300781,3.0977678298950195,392.7289733886719,5.777037620544434,,174.60595703125,0.7073119282722473,883.5144653320312
2000-01-05,85.90596008300781,3.133873224258423,392.7289733886719,5.993675708770752,,180.42617797851562,0.701417863368988,899.578369140625
2000-01-06,86.20318603515625,3.083326816558838,403.9495544433594,5.813144207000732,,180.42617797851562,0.7073119282722473,878.15966796875
2000-01-07,86.20318603515625,3.2927334308624268,396.4691162109375,5.668717861175537,,180.42617797851562,0.7161537408828735,872.8054809570312
2000-01-10,86.6986083984375,3.2638497352600098,411.0560607910156,5.704823017120361,,194.9766845703125,0.7279421091079712,872.8054809570312
2000-01-11,90.16653442382812,3.119431734085083,405.81988525390625,5.740932464599609,,203.71282958984375,0.710259735584259,840.6774291992188
2000-01-12,90.66201782226562,3.126652240753174,435.7418518066406,5.650664329528809,,206.6171417236328,0.710259735584259,819.2589721679688
2000-01-13,92.14823150634766,3.148315668106079,448.83306884765625,5.61455774307251,,219.1363525390625,0.7161537408828735,840.6774291992188
2000-01-14,93.13906860351562,3.148315668106079,463.79400634765625,5.488184928894043,,232.79054260253906,0.7426773905754089,851.3865966796875
2000-01-17,93.43633270263672,,467.5344543457031,,,226.92958068847656,,869.59228515625
2000-01-18,93.43633270263672,3.090548038482666,486.2358703613281,5.632609844207764,,226.69680786132812,0.7161537408828735,851.3865966796875
2000-01-19,93.43633270263672,3.025559425354004,486.2358703613281,5.777037620544434,,226.34754943847656,0.7397308349609375,867.4505004882812
2000-01-20,93.13906860351562,3.1049892902374268,493.3421325683594,5.5062408447265625,,226.28933715820312,0.7721493244171143,909.7520141601562
2000-01-21,93.13906860351562,3.003896951675415,489.9759216308594,5.30765438079834,,226.28933715820312,0.7633079290390015,923.6741943359375
2000-01-24,93.13906860351562,2.9172451496124268,471.2745666503906,5.163227558135986,,221.10940551757812,0.7515190839767456,899.578369140625
2000-01-25,91.75190734863281,2.9172451496124268,469.4044189453125,5.091013431549072,,209.81822204589844,0.7456247210502625,899.578369140625
2000-01-26,90.95921325683594,2.8811426162719727,466.7863464355469,4.820216178894043,,206.90811157226562,0.7603603005409241,899.0427856445312
2000-01-27,89.86931610107422,2.8522579669952393,463.4203186035156,5.145172595977783,,206.90811157226562,0.7662550806999207,899.578369140625
2000-01-28,88.97754669189453,2.7583868503570557,452.5730895996094,5.0368571281433105,,206.90811157226562,0.7456247210502625,888.8687133789062
2000-01-31,85.50961303710938,2.7367241382598877,445.09283447265625,5.0368571281433105,,206.90811157226562,0.7308893799781799,896.901123046875
2000-02-01,85.21236419677734,2.7439441680908203,445.09283447265625,5.0368571281433105,,206.90811157226562,0.7485722899436951,894.2238159179688
2000-02-02,85.21236419677734,2.729501247406006,446.9628601074219,5.0368571281433105,,206.90811157226562,0.7249948978424072,915.642578125
2000-02-03,85.4105453491211,2.7006189823150635,486.2358703613281,5.05490779876709,,206.90811157226562,0.7544664740562439,937.0608520507812
2000-02-04,85.21236419677734,2.729501247406006,486.2358703613281,5.36181116104126,,206.90811157226562,0.7750965356826782,963.8341064453125
2000-02-07,85.21236419677734,2.707839250564575,489.9759216308594,5.30765438079834,,206.90811157226562,0.7692021727561951,947.7701416015625
2000-02-08,85.21236419677734,2.7511649131774902,510.5473327636719,5.199334144592285,,206.90811157226562,0.7456247210502625,958.4791259765625
