var,coef,t,p
const,1.8754,3.0053,0.0027
ret_cobre,0.7123,5.2214,0.0
d_tpm,0.0529,0.0485,0.9613
imacec,-0.1636,-1.646,0.0998
ipc,-2.2001,-1.8606,0.0628
ret_usdclp,-0.2136,-1.3724,0.1699
ret_dxy,-0.2893,-1.2982,0.1942
