activo,p,n,irf_dia0,irf_dia1,irf_acum5,fevd_cobre_h1,fevd_cobre_h20,granger_cobre_p
ANTO.L,10,5828,0.0,0.0907,0.091,28.68,27.79,0.0084
PUCOBRE.SN,10,5828,0.0,0.0427,0.1957,2.03,4.32,0.0
