fecha,precio_real,precio_pred
2025-09-24,6078.540527343746,6013.03782138319
2025-09-25,6146.71435546875,6090.488921280595
2025-09-26,6086.835449218752,6152.72784004584
2025-09-29,6169.311523437497,6093.189706657917
2025-09-30,6169.311523437496,6182.51114974171
2025-10-01,6345.419921875005,6171.934101294995
2025-10-02,6633.8481445312445,6364.118660352406
2025-10-03,6641.094238281247,6667.490041980135
2025-10-06,6624.027343749995,6650.589098606867
2025-10-07,6624.027343749995,6623.657945235204
2025-10-08,6773.342285156249,6632.261342328281
2025-10-09,6677.422363281255,6786.538147344838
2025-10-10,6674.371093749998,6648.687476023009
2025-10-13,6674.371093749998,6685.555903912124
2025-10-14,6579.022949218751,6682.479273920525
2025-10-15,6579.022949218751,6569.53401194879
2025-10-16,6540.406738281251,6576.302153002561
2025-10-17,6483.674804687502,6540.071152449202
2025-10-20,6483.006835937503,6489.2633098064025
2025-10-21,6469.944335937503,6485.185736158504
2025-10-22,6483.674804687503,6466.807065706259
2025-10-23,6482.721191406251,6497.4691470432035
2025-10-24,6489.299804687504,6495.043885234329
2025-10-27,6554.327636718749,6499.880210997495
2025-10-28,6959.4619140624945,6563.739268974823
2025-10-29,6959.4619140624945,6994.526229868185
2025-10-30,6959.4619140624945,6953.56735996496
2025-10-31,6959.4619140624945,6953.958454097394
2025-11-01,6912.455566406245,6960.911531814075
2025-11-03,6878.320312499996,6911.449350873053
2025-11-04,6877.176757812501,6865.190606806827
2025-11-05,6877.176757812501,6876.248290124488
2025-11-06,6805.093261718755,6874.369848103681
2025-11-07,6894.815917968751,6801.565646609881
2025-11-10,6894.81591796875,6918.215010348947
2025-11-11,6886.043945312499,6903.786267466877
2025-11-12,6944.015136718752,6888.176779105157
2025-11-13,6911.692382812505,6943.664449869946
2025-11-14,7062.914550781246,6909.368648783459
2025-11-17,6881.085449218753,7065.769985906371
2025-11-18,7113.92578125,6863.068345205217
2025-11-19,6917.508789062501,7134.278095788775
2025-11-20,6964.515136718751,6900.230219649161
2025-11-21,7018.577636718751,6974.288430332772
2025-11-24,7018.482421874994,7031.303581233245
2025-11-25,7062.056640624998,7023.794233153598
2025-11-26,7336.373046875002,7078.551135678605
2025-11-27,7885.483398437502,7361.877878300786
2025-11-28,7880.048339843754,7931.983280976828
2025-12-01,8242.465820312502,7886.731144756939
2025-12-02,8531.658203124996,8267.921740258978
2025-12-03,8345.729492187504,8560.400501429613
2025-12-04,8459.383789062504,8346.65374742684
2025-12-05,8459.383789062502,8475.51395057869
2025-12-08,8517.736328124995,8465.397219361901
2025-12-09,8854.69726562498,8514.394039373086
2025-12-10,9493.148437499998,8876.281407125398
2025-12-11,9487.618164062498,9554.511814886377
2025-12-12,9511.549804687504,9484.431485874895
2025-12-15,9486.569335937505,9508.497571789883
2025-12-16,9486.950195312505,9487.059600808652
2025-12-17,9437.94238281251,9485.081735873826
2025-12-18,10488.296875000018,9449.150347490133
2025-12-19,10678.99316406249,10576.848123020136
2025-12-22,11174.803710937502,10705.644530742125
2025-12-23,11437.964843750007,11218.586658435903
2025-12-24,12022.449218749975,11468.299223393878
2025-12-26,11921.379882812489,12093.698430828283
2025-12-29,11953.797851562487,11916.84189342039
2025-12-30,11953.79785156251,11955.349589186144
2025-12-31,11953.79785156251,11965.706178997241
2026-01-01,12572.60742187501,11949.678419703956
2026-01-02,12824.327148437495,12623.537421655785
2026-01-05,13701.530273437504,12878.76861559303
2026-01-06,14443.33886718749,13814.117998436486
2026-01-07,15126.031250000011,14489.329181953006
2026-01-08,15525.540039062504,15156.199464493859
