var,coef,t,p
const,1.7253,2.7581,0.0058
ret_cobre,0.5993,7.3375,0.0
d_tpm,1.4089,1.0224,0.3066
imacec,-0.2617,-2.7707,0.0056
ipc,-0.6704,-0.74,0.4593
ret_usdclp,-0.0464,-0.3202,0.7488
ret_dxy,0.0802,0.3583,0.7201
