activo,n,orden,F_bounds,LP_cobre,LP_usdclp,LP_dxy,cv5_I0,cv5_I1,veredicto
ANTO.L,5829,"(2, 2, 2, 2)",2.885,-1.2672,-1.5283,0.8613,3.23,4.35,no cointegra (5%)
PUCOBRE.SN,5829,"(2, 2, 2, 2)",1.553,-2.0525,-1.5069,-1.0974,3.23,4.35,no cointegra (5%)
