var,coef,t,p
const,-0.0037,-0.0031,0.9975
ret_cobre,0.6978,4.7565,0.0
d_tpm,-0.6005,-0.3517,0.7251
imacec,-0.0305,-0.1811,0.8563
ipc,2.4263,1.2426,0.214
ret_usdclp,-0.4776,-1.7351,0.0827
ret_dxy,-0.6359,-1.4078,0.1592
