activo,n,k_ar_diff,LP_cobre,LP_usdclp,LP_dxy,alpha_activo
ANTO.L,5829,10,0.8603,6.6292,-11.8041,-0.0008
PUCOBRE.SN,5829,10,0.7535,4.819,-7.9578,-0.0004
