fecha,precio_real,precio_pred
2025-09-24,2597.7624511718714,2618.2497442297554
2025-09-25,2665.756347656251,2595.7893894812287
2025-09-26,2806.7434082031245,2665.045217776548
2025-09-29,2750.748535156251,2799.220071166372
2025-09-30,2699.7531738281255,2760.8307688051254
2025-10-01,2673.755615234373,2711.344887244044
2025-10-02,2714.751708984374,2681.228894064694
2025-10-03,2697.753417968749,2718.3025975131895
2025-10-06,2679.7548828125014,2699.849414497762
2025-10-07,2792.7446289062505,2681.325760660753
2025-10-08,2765.7470703125005,2784.163951178377
2025-10-09,2692.753662109375,2767.3939660659375
2025-10-10,2826.7414550781255,2669.520611269499
2025-10-13,2757.747802734374,2836.452668827407
2025-10-14,2774.7463378906264,2760.815519878854
2025-10-15,2786.745117187497,2777.6778472319297
2025-10-16,2662.7565917968745,2781.043241840492
2025-10-17,2696.75341796875,2681.983739164907
2025-10-20,2635.7590332031227,2705.4274154693976
2025-10-21,2637.7587890625,2640.4005873566243
2025-10-22,2641.758544921875,2635.367832729104
2025-10-23,2675.755371093748,2652.2908580718868
2025-10-24,2712.7519531250005,2679.7874137818485
2025-10-27,2771.746582031247,2722.3922006649154
2025-10-28,2853.739013671876,2767.7390626848323
2025-10-29,2814.7426757812505,2847.3831785666644
2025-10-30,2789.744873046874,2803.80184478533
2025-10-31,2789.744873046874,2795.050518592376
2025-11-01,2744.7490234374995,2790.8121994636986
2025-11-03,2662.7565917968745,2751.813804105166
2025-11-04,2652.7573242187495,2657.3794639051466
2025-11-05,2745.749023437499,2659.8095465021006
2025-11-06,2722.7509765625005,2725.6079041482694
2025-11-07,2749.748535156251,2727.700376467769
2025-11-10,2766.7470703124995,2767.7505865873663
2025-11-11,2806.7434082031245,2766.1735938685424
2025-11-12,2794.744384765626,2805.2561428078216
2025-11-13,2777.7460937499986,2782.816310436894
2025-11-14,2737.7497558593755,2778.511764897118
2025-11-17,2636.7587890625005,2732.506626165942
2025-11-18,2644.7580566406245,2641.2881684616423
2025-11-19,2646.758056640626,2648.3093846873885
2025-11-20,2576.764404296874,2632.10505905477
2025-11-21,2593.7629394531214,2596.4918110110875
2025-11-24,2670.7558593750005,2603.7047081171972
2025-11-25,2727.7504882812477,2672.8346024233883
2025-11-26,2689.754150390625,2732.569082514456
2025-11-27,2757.7478027343745,2695.3402351065697
2025-11-28,2819.7421875000005,2759.011936844792
2025-12-01,2770.746582031249,2809.816775521868
2025-12-02,2906.734130859374,2777.58817903457
2025-12-03,2980.7275390625,2901.5611986229565
2025-12-04,3009.7248535156223,2972.563090346621
2025-12-05,2957.7294921874995,3013.371176959638
2025-12-08,2920.7329101562505,2960.7545847336223
2025-12-09,2919.7329101562514,2919.6690588105926
