activo,rango_coint,n,vars
ANTO.L,1,5829,lprice_ANTO.L;l_cobre_comex;l_usdclp;l_dxy
PUCOBRE.SN,1,5829,lprice_PUCOBRE.SN;l_cobre_comex;l_usdclp;l_dxy
