activo,n_oos,RMSE,RMSE_naive,mejora_vs_naive_pct,R2_oos_pct,precision_direccional_pct
ANTO.L,2370,2.3853,2.3775,-0.33,-0.657,54.2
PUCOBRE.SN,2370,1.568,1.5776,0.61,1.217,56.6
